number_of_reviews,minimum_nights,availability_365,neighbourhood_group,room_type,price
0.20689655172413793,0.1,0.0,0.25,0.0,100
0.017241379310344827,0.4,0.0,0.5,0.0,70
0.1724137931034483,0.0,0.0,0.0,0.0,42
0.05172413793103448,0.0,0.0,0.25,0.0,63
0.034482758620689655,0.1,0.0,0.25,0.5,180
0.0,0.0,0.0,0.25,0.5,150
0.0,0.1,0.09863013698630137,0.0,0.0,150
0.1724137931034483,0.0,0.4904109589041096,1.0,0.0,50
0.1724137931034483,0.1,0.021917808219178082,0.5,0.5,125
0.48275862068965514,0.0,0.04657534246575343,0.25,0.0,120
0.017241379310344827,0.20000000000000004,0.0,0.0,0.0,55
0.08620689655172414,0.4,0.0,0.25,0.0,160
0.05172413793103448,0.20000000000000004,0.3506849315068493,0.25,0.5,130
0.017241379310344827,0.1,0.0,0.0,0.5,175
0.05172413793103448,0.0,0.8027397260273973,0.25,0.0,59
0.06896551724137931,0.0,0.06575342465753425,0.25,0.0,73
0.3620689655172414,0.1,0.3424657534246575,0.5,0.0,57
0.017241379310344827,0.1,0.263013698630137,0.0,0.0,49
0.0,0.6000000000000001,0.0,0.0,0.0,42
0.7413793103448276,0.1,0.9260273972602739,0.0,0.5,95
0.8620689655172413,0.20000000000000004,0.024657534246575342,0.0,0.0,40
0.5344827586206896,0.30000000000000004,0.2136986301369863,0.25,0.5,195
0.06896551724137931,0.0,0.2136986301369863,0.5,0.5,100
0.0,0.1,0.0,0.5,0.0,120
0.0,0.1,0.16712328767123288,0.0,0.0,57
0.3620689655172414,0.1,0.1589041095890411,0.0,0.0,67
0.10344827586206896,0.0,0.4849315068493151,0.0,0.5,225
0.05172413793103448,0.0,0.0,0.0,0.0,65
0.017241379310344827,0.7000000000000001,0.0,0.25,0.0,100
0.10344827586206896,0.20000000000000004,0.9561643835616438,0.25,0.0,100
0.05172413793103448,0.20000000000000004,0.0,0.25,0.5,75
0.06896551724137931,0.20000000000000004,0.0,0.0,0.5,150
0.0,0.1,0.0,0.0,0.5,110
0.08620689655172414,0.1,0.0,0.0,0.5,150
0.0,0.30000000000000004,0.10684931506849316,0.5,0.5,149
0.06896551724137931,0.20000000000000004,0.0,0.0,0.5,75
0.034482758620689655,0.30000000000000004,0.043835616438356165,0.25,0.5,175
0.20689655172413793,0.20000000000000004,0.0,0.75,0.5,65
0.15517241379310345,0.0,1.0,0.25,1.0,85
0.9137931034482758,0.0,0.0,0.0,0.0,80
0.41379310344827586,0.20000000000000004,0.8438356164383561,0.5,0.5,170
0.08620689655172414,0.1,0.5780821917808219,0.0,0.5,103
